Name,Pos,Drafted,Retired,Pick,Peak Year,Team,G,MP,PTS,TRB,AST,PER,EWA,WS,WS/48,Total G,Total MP,Total PTS,Total TRB,Total AST,Total PER,Total EWA,Total WS,Total WS/48
Pete Maravich,SG,1970,Y,3,1974,ATL,76,38.2,27.7,4.9,5.2,20.3,11.3,7.6,0.126,658,37,24.2,4.2,5.4,18.4,76.1,46.8,0.092
Mitch Richmond,SG,1988,Y,5,1997,SAC,81,38.6,25.9,3.9,4.2,21.6,13.8,10.8,0.166,976,35.2,21,3.9,3.5,17.6,96.5,79.2,0.111
Pau Gasol,FC,2001,Y,3,2011,LAL,82,37,18.8,10.2,3.3,23.3,14.8,14.7,0.232,1226,33.4,17,9.2,3.2,21.4,168.5,144.2,0.169
Ed Macauley,FC,1949,Y,5,1953,BOS,69,42.1,20.3,9.1,4.1,24.2,15.2,14.5,0.24,641,28.2,17.5,6.7,3.2,20.5,68.1,100.7,0.267
Sidney Moncrief,G,1979,Y,5,1983,MIL,76,35.7,22.5,5.8,3.9,22.6,12.8,13.2,0.234,767,30.2,15.6,4.7,3.6,18.7,73.1,90.3,0.187
Jrue Holiday,G,2009,N,17,2019,NOL,67,35.9,21.2,5,7.7,19.4,8.3,5.4,0.108,906,33.1,16.4,4.1,6.5,17.5,80,63.1,0.101
Chris Webber,FC,1993,Y,1,2001,SAC,70,40.5,27.1,11.1,4.2,24.7,15.4,11,0.186,831,37.1,20.7,9.8,4.2,20.9,121.4,84.8,0.132
Bill Sharman,SG,1950,Y,17,1957,BOS,67,35.9,21.1,4.3,3.5,19.6,8.7,10.4,0.208,711,30.7,17.8,3.9,3,18.3,67.6,82.8,0.182
Alex English,SF,1976,Y,23,1983,DEN,82,36.4,28.4,7.3,4.8,24.1,16.2,10.3,0.165,1193,31.9,21.5,5.5,3.6,19.9,142,100.5,0.127
Tony Parker,PG,2001,Y,28,2009,SA,72,34.1,22,3.1,6.9,23.4,12.1,8.6,0.168,1254,30.5,15.5,2.7,5.6,18.2,110.3,111.5,0.14
Rudy Gobert,C,2013,N,27,2019,UTA,81,31.8,15.9,12.9,2,24.6,14.4,14.4,0.268,681,30,12.5,11.6,1.3,21.8,91.2,94.3,0.221
Kyle Lowry,PG,2006,N,24,2016,TOR,77,37,21.2,4.7,6.4,22.2,12.7,11.7,0.197,1078,31.8,14.6,4.4,6.3,17.8,92.6,108.1,0.151
Yao Ming,C,2002,Y,1,2009,HOU,77,33.6,19.7,9.9,1.8,22.7,12.5,10.6,0.197,486,32.5,19,9.2,1.6,23,78.3,65.8,0.2
Kevin McHale,PF,1980,Y,3,1987,BOS,77,39.7,26.1,9.9,2.6,24,15.2,14.8,0.232,971,31,17.9,7.3,1.7,20,102.1,113.1,0.18
Bob Lanier,C,1970,Y,1,1975,DET,76,39.3,24,12,4.6,24.4,16.4,12.4,0.199,959,33.5,20.1,10.1,3.1,21.7,141.7,117,0.175
Lenny Wilkens,PG,1960,Y,6,1972,OKC,80,37.4,18,4.2,9.6,20.3,11.1,9.6,0.154,1077,35.3,16.5,4.7,6.7,16.8,87.5,95.8,0.121
Zion Williamson,PF,2019,N,1,2021,NOL,61,33.2,27,7.2,3.7,27.1,12.6,8.7,0.206,114,32,25.8,7,3.6,26.1,21.1,14.1,0.185
Jerry Lucas,FC,1962,Y,6,1968,SAC,82,44.1,21.5,19,3.1,19.8,12.6,10.1,0.134,829,38.8,17,15.6,3.3,18.8,99.7,98.4,0.147
Ja Morant,PG,2019,N,2,2022,MEM,57,33.1,27.4,5.7,6.7,24.4,10.1,6.7,0.17,248,32.1,22.4,4.8,7.4,20.3,29.6,19.7,0.119
Devin Booker,SG,2015,N,13,2020,PHO,70,35.9,26.6,4.2,6.5,20.6,10.1,7.5,0.143,530,33.8,23.9,4,4.8,18.4,56.4,36,0.096
Isaiah Thomas,G,2011,N,60,2017,BOS,76,33.8,28.9,2.7,5.9,26.5,16.1,12.5,0.234,550,28.3,17.7,2.4,4.8,19.6,54.7,45,0.139
Bernard King,SF,1977,Y,7,1984,NYC,77,34.6,26.3,5.1,2.1,22.7,13,12.1,0.218,874,33.7,22.5,5.8,3.3,19.2,101.7,75.1,0.123
